publication_number,title,abstract
US-10718816-B2,"Method of evaluating power storage device, evaluation jig, and method of manufacturing power storage device","(a) A power storage device is prepared. (b) An evaluation jig is prepared. The evaluation jig includes an insulating tubular member and a conductive needle-shaped member. (c) A charge level of the power storage device is adjusted. (d) A positive electrode or a negative electrode is selected as a reference electrode. (e) An operation to insert the evaluation jig into the power storage device is performed. (f) The insertion operation is controlled to stop the tubular member when a tip end of the needle-shaped member comes in contact with an electrode different from the reference electrode. (g) Short-circuiting through the needle-shaped member is caused. (h) The power storage device is evaluated based on a state of the short-circuiting power storage device., (a) A power storage device is prepared. (b) An evaluation jig is prepared. The evaluation jig includes an insulating tubular member and a conductive needle-shaped member. (c) A charge level of the power storage device is adjusted. (d) A positive electrode or a negative electrode is selected as a reference electrode. (e) An operation to insert the evaluation jig into the power storage device is performed. (f) The insertion operation is controlled to stop the tubular member when a tip end of the needle-shaped member comes in contact with an electrode different from the reference electrode. (g) Short-circuiting through the needle-shaped member is caused. (h) The power storage device is evaluated based on a state of the short-circuiting power storage device."
US-D841600-S,Lighting control console,
US-2003069202-A1,"Compositions, kits, and methods for promoting defined health benefits","The present invention is directed to compositions comprising:  
     (a) a first component selected from the group consisting of gelatin, cartilage, aminosugars, glycosaminoglycans, methylsulfonylmethane, precursors of methylsulfonylmethane, S-adenosylmethionine, salts thereof, and mixtures thereof; and  
     (b) a second component comprising:  
     (i) a cation source selected from the group consisting of calcium, potassium, magnesium, and mixtures thereof; and  
     (ii) an edible acid source.  
     The present invention is further directed to food, beverage, pharmaceutical, over-the- counter, and dietary supplement products, which comprise the present compositions. The invention also relates to kits comprising the present compositions and information that use of the composition promotes one or more of the presently defined health benefits, including joint health, bone health, cardiac health, and anti-inflammation. The present invention additionally relates to methods of treating joint function, bone function, cardiac function, or inflammation comprising administering to a mammal a composition as defined herein."
US-9444276-B2,Mobile terminal capable of being charged in a wired or wireless manner,"A mobile terminal capable of being charged in a wired or wireless manner is disclosed. Some embodiments of the disclosed mobile terminal include a terminal body having a battery, a contact unit formed at one side of the terminal body and coupled to an adaptor, and a plurality of conductive lines configured to connect the contact unit with the battery, where a first conductive line passes through a first charging unit configured to charge the battery with power received wirelessly from a wireless power transmitter, where a second conductive line passes through the second charging unit, and the first conductive line and the second conductive line diverge at a first point and converge at a second point between the contact unit and the battery."
US-4030994-A,Substitutive fluorination of organic compounds,"Organic compounds having at least one replaceable hydrogen atom are fluorinated in the liquid or solid state by treatment with fluoroxyperfluoroalkanes or fluoroxypentafluorosulfur under the influence of a free radical initiator., Organic compounds having at least one replaceable hydrogen atom are fluorinated in the liquid or solid state by treatment with fluoroxyperfluoroalkanes or fluoroxypentafluorosulfur under the influence of a free radical initiator."
US-4719245-A,Flexible polyisocyanurate-urethane foam,"Disclosed are novel compositions capable of catalytically trimerizing organic isocyanates said compositions comprising solutions of the reaction products obtained by reacting in an inert solvent in substantially equimolar proportions electron-rich ketene-aminals with electron-poor olefins having the respective formulae (I) and (II) ##STR1## The variously substituted electron-rich ketene-aminals (I), as the name implies, have high electron density associated with the double bond because of the two tertiary amine groups while the electron-poor olefins (II) have the opposite situation due to the presence of electron withdrawing substituents R 9  and R 10 . 
     Also discosed is an improved process for trimerizing organic isocyanates using the above catalyst compositions including the preparation of polyisocyanurate polymers and isocyanurate-modified polyisocyanates., Disclosed are novel compositions capable of catalytically trimerizing organic isocyanates said compositions comprising solutions of the reaction products obtained by reacting in an inert solvent in substantially equimolar proportions electron-rich ketene-aminals with electron-poor olefins having the respective formulae (I) and (II) &lt;IMAGE&gt;  (I)   &lt;IMAGE&gt; (II)  The variously substituted electron-rich ketene-aminals (I), as the name implies, have high electron density associated with the double bond because of the two tertiary amine groups while the electron-poor olefins (II) have the opposite situation due to the presence of electron withdrawing substituents R9 and R10. Also discosed is an improved process for trimerizing organic isocyanates using the above catalyst compositions including the preparation of polyisocyanurate polymers and isocyanurate-modified polyisocyanates."
US-7949960-B2,Predictive rendering of user interfaces,"Methods and apparatus, including computer program products, implement techniques for rendering the user interface of a software application. A client computer provides a user interface for a computer program application. The user interface is operable to receive input from a user interacting with the client and to generate user interaction events from the input. One or more possible user interaction events are identified on the client while the user interface is in a current user interface state. The possible user interaction events are user interaction events that would arise from input the user interface could possibly receive in the current user interface state from the user. One or more of the possible user interaction events are pre-processed to generate one or more possible user interface states. The possible user interface states are stored for later use."
US-2003087630-A1,Method of searching for electronic mail in portable cellular phone and electronic mail searching program for portable cellular phone,"A method of searching for an e-mail (electronic mail) is provided which is capable of performing a search on all pieces of e-mail for a specified character string or a graphical character (icon) in a portable cellular phone within a short time and in a reliable manner. The method employed in the portable cellular phone having a function of transmitting and receiving e-mail includes steps of storing transmitted and received e-mail in an e-mail storing area, of having an e-mail searching block perform a search around the e-mail storing area for at least one desired e-mail by a specified character string or a specified graphical color representing the graphical character contained in the e-mail and of displaying one line containing the specified character string or the graphical character existing in detected e-mail on a screen of a displaying device and displaying, when any one line is selected from various pieces of one line being displayed, a whole content in the e-mail containing the one line on the screen of the displaying device."
US-11374534-B2,"Optoelectronic solar cell test system for an in-line solar cell production plant, and method for optimizing the in-line production of solar cells using an optoelectronic solar cell test system of this type","An optoelectronic solar cell test system including an exposure and measuring device for in-line measurement of solar cells and a control and evaluation unit, the exposure and measuring device configured to carry out test measurements for generating test-measurement data on a solar cell. The control and evaluation unit is configured to perform statistical analyses using data from identical test measurements undertaken by the exposure and measuring device on a plurality of solar cells produced in-line, and to correlate statistical analyses of the data from different test measurements with one another, and/or to correlate statistical analyses of test measurement data with statistical analyses of production measurement data, and/or to correlate statistical analyses of test measurement data and/or statistical analyses of production measurement data with production input data, in order generate correlation results, and to derive from the correlation results, and communicate, an action recommendation or instruction to a personnel group., An optoelectronic solar cell test system including an exposure and measuring device for in-line measurement of solar cells and a control and evaluation unit, the exposure and measuring device configured to carry out test measurements for generating test-measurement data on a solar cell. The control and evaluation unit is configured to perform statistical analyses using data from identical test measurements undertaken by the exposure and measuring device on a plurality of solar cells produced in-line, and to correlate statistical analyses of the data from different test measurements with one another, and/or to correlate statistical analyses of test measurement data with statistical analyses of production measurement data, and/or to correlate statistical analyses of test measurement data and/or statistical analyses of production measurement data with production input data, in order generate correlation results, and to derive from the correlation results, and communicate, an action recommendation or instruction to a personnel group."
US-10832370-B2,System and method of hitless reconfiguration of a data processing pipeline with standby pipeline,"A method and apparatus of a network element that processes data using a data processing pipeline with standby memory is described. In one embodiment, the network element prepares a new image for the data processing pipeline of the network element, where the data processing pipeline processes incoming network data received by the network element and the new image modifies a current set of functionalities of the data processing pipeline. The network element further writes the new image into a standby memory of the data processing pipeline, where the network element includes an active memory that programs the current set of functionalities of the data processing pipeline. In addition, the network element programs the data processing pipeline using the new image. The network element additionally processes the incoming network data received by using the data processing pipeline using modified current set of functionalities., A method and apparatus of a network element that processes data using a data processing pipeline with standby memory is described. In one embodiment, the network element prepares a new image for the data processing pipeline of the network element, where the data processing pipeline processes incoming network data received by the network element and the new image modifies a current set of functionalities of the data processing pipeline. The network element further writes the new image into a standby memory of the data processing pipeline, where the network element includes an active memory that programs the current set of functionalities of the data processing pipeline. In addition, the network element programs the data processing pipeline using the new image. The network element additionally processes the incoming network data received by using the data processing pipeline using modified current set of functionalities."
US-2017045851-A1,Fixing device and image forming apparatus,"A fixing device includes a pressing unit, a heating unit that faces the pressing unit and rotates, a frame that extends along the heating unit, and a separating member that is attached to the frame by using plural screws. A tightening direction of at least one of the screws is opposite to a tightening direction of the other screws."
US-4173304-A,Building structure with heat storage and recovery,"In my U.S. Pat. No. 4,054,246, a double-walled structure collects solar heat with air as the heat transfer medium, which heat is stored in subterranean gravel pits. In the present invention, (1) the design of the gravel pits is improved, (2) the efficiency of the solar collectors is improved, whereby needed collection area is reduced, (3) seepage into the pits is minimized, and (4) novel modes of operation using ambient air are disclosed., In my U.S. Pat. No. 4,054,246, a double-walled structure collects solar heat with air as the heat transfer medium, which heat is stored in subterranean gravel pits. In the present invention, (1) the design of the gravel pits is improved, (2) the efficiency of the solar collectors is improved, whereby needed collection area is reduced, (3) seepage into the pits is minimized, and (4) novel modes of operation using ambient air are disclosed."
US-10313831-B2,Extensible solution for device to device discovery message size,"A method for providing an extensible solution for discovery message size includes determining a capsule size at a layer one protocol of a user equipment operating in a cellular network. The capsule size is forwarded to a layer two protocol of the user equipment where it is adjusted to accommodate layer two overhead. The adjusted capsule size is then forwarded to a layer three protocol., A method for providing an extensible solution for discovery message size includes determining a capsule size at a layer one protocol of a user equipment operating in a cellular network. The capsule size is forwarded to a layer two protocol of the user equipment where it is adjusted to accommodate layer two overhead. The adjusted capsule size is then forwarded to a layer three protocol."
US-11300628-B2,Method of determining an aging difference of a plurality of battery cells connected in parallel of a battery pack and related battery diagnosing system,"A method includes recording a branch current and a terminal voltage of each of two parallel connected cells of a battery pack during the battery pack being switched from a charging or discharging state through a rest state to a balance state, to obtain an internal resistance of each cell, and an open-circuit voltage (OCV) and a state of charge (SOC) of the battery pack in the balance state, to obtain an OCV and a SOC of each cell just before the battery pack is switched to the rest state; and obtaining an aging differential index according to the SOC of each cell just before the battery pack is switched to the rest state, the branch current of each cell just after the battery pack is switched to the rest state, and a rated capacity of the battery pack, to determine a relative aging level of the two cells., A method includes recording a branch current and a terminal voltage of each of two parallel connected cells of a battery pack during the battery pack being switched from a charging or discharging state through a rest state to a balance state, to obtain an internal resistance of each cell, and an open-circuit voltage (OCV) and a state of charge (SOC) of the battery pack in the balance state, to obtain an OCV and a SOC of each cell just before the battery pack is switched to the rest state; and obtaining an aging differential index according to the SOC of each cell just before the battery pack is switched to the rest state, the branch current of each cell just after the battery pack is switched to the rest state, and a rated capacity of the battery pack, to determine a relative aging level of the two cells."
US-9531848-B2,Method of using generic modification instructions to enable flexible modifications of packets and an apparatus thereof,"Embodiments of the apparatus for modifying packet headers relate to programmable modifications of packets by applying commands to generalized protocol headers. Each protocol header of incoming packets is represented in a generic format specific to that protocol to enable modifications to packet headers. Missing fields from a protocol header are detected, and the protocol header is expanded to a maximum size such that the protocol header contains all possible fields of that protocol, including the missing fields. Each of the fields has the same offset irrespective of which variation of the protocol the protocol header corresponds to. Modification uses a set of commands that is applied to expanded protocol headers. All of the commands are thus generic as these commands are independent of incoming headers (e.g., size and protocol)."
US-11529565-B2,Method and apparatus for fastening of inflatable ride surfaces,"A system, apparatus, and method for constructing or providing a ride surface for an amusement attraction, such as an inflatable surfing attraction. The ride surface may be formed via the connection of a plurality of ride surface portions or segments. A mechanism may be incorporated to smooth the ride surface and define a more continuous ride surface between the plurality of ride surface portions or segments., A system, apparatus, and method for constructing or providing a ride surface for an amusement attraction, such as an inflatable surfing attraction. The ride surface may be formed via the connection of a plurality of ride surface portions or segments. A mechanism may be incorporated to smooth the ride surface and define a more continuous ride surface between the plurality of ride surface portions or segments."
US-4531506-A,Portable disposable grilling,"A disposable charcoal grill has an inner tub of aluminum nested inside an outer tub of cardboard. The tubs have side walls diverging upward and outward, each having a flange about its perimeter in engagement with the other. Each has a generally vertical rib of triangular cross section midway between the ends of each long side wall. An aluminum grill rests upon the inner tub flange and the inner tub ribs. A charcoal package is seated in the lower portion of the inner tub that is coated with insulating material. Wire stays engage the charcoal package and contact the grill. A sheet of cardboard covers the grill. An outer strip of aluminum engages the flanges and the edges of the aluminum foil strip."
US-2008193137-A1,Method and apparatus for extending broadband communication services over a wireless link while protecting the network from performance degradations caused by the wireless link,"A method and apparatus is provided for communicating information from a customer to a broadband access network. The method begins when a wireless access point receives from a subscriber module a wireless RF carrier signal modulated with customer information. The customer information is demodulated and forwarded to a broadband modem in accordance with a first network protocol. The customer information is modulated by the broadband modem onto a communication channel of the broadband access network, thereby preventing wireless noise and/or interference from being directly coupled into the broadband access network."
US-8745596-B2,Program debugging with dynamically inserted instrumentation,"The present disclosure simplifies programming debugging by dynamically injecting debugger compiled instrumentation into the debuggee process such that the debuggee process executes the instrumentation without executing the debugger. In one example method, the debugger controls compiling a description of the instrumentation as an instrumentation method. The debugger can then write the instrumentation method into the debuggee. The debuggee can save the state of a target method of the debuggee process at a predetermined location. The debuggee process calls the instrumentation method from the debuggee. In addition, the state of the target method can be restored and the resumed from the predetermined location after the instrumentation method executes."
US-7010041-B2,"Process for changing the syntax, resolution and bitrate of MPEG bitstreams, a system and a computer product therefor","In order to generate, starting from an input MPEG bitstream, an output MPEG bitstream having at least one entity chosen among syntax, resolution, and bitrate modified with respect to the input bitstream, first portions and second portions are distinguished in the input bitstream, which respectively substantially do not affect and do affect the variation in bitrate. When at least one between the syntax and the resolution is to be modified, the first portions of the input bitstream are subjected to the required translation, then transferring said first portions subjected to syntax and/or resolution translation to the output bitstream. When the resolution is left unaltered, the second portions are transferred from the input bitstream to the output bitstream in the substantial absence of processing operations. When the resolution is changed, the second portions of the input bitstream are subjected to a filtering in the domain of the discrete cosine transform."
US-4039779-A,Apparatus for compensating for electrode wear in an electrical discharge machine,Electrical discharge machining apparatus having means to sense the position of the electrode at the start of EDM machining of a workpiece. The apparatus includes means to measure the forward movement of the electrode during each machining cycle and regulate the backward retracting movement of the electrode to a preselected distance so as to compensate for erosion of the electrode during the machining cycle to thereby facilitate positioning of the electrode in the correct location for the next machining cycle. The apparatus includes a sensing device operable to transmit electrical pulses corresponding to incremental movements of the electrode and control circuitry which receives the pulses and controls subsequent movement of the electrode.
US-7474287-B2,Light emitting device,"A light emitting device includes a time delay mechanism in electrical connection with a power source for time shifting at least a portion of a power signal outputted by the power source and a plurality of light emitting units formed by at least a light emitting diode (LED)structure, each light emitting unit being driven alternately and sequentially using the power source and the time delay mechanism."
US-9714697-B2,Stepless transmission,"A stepless transmission includes: a transmission shaft; first to fourth power transmission elements; a plurality of rolling bodies clamped by the first and second power transmission elements disposed in confrontation with each other, and tiltably held by the fourth power transmission element; an axial force generator configured to generate axial force in an axial direction for pressing at least one of the first and second power transmission elements against the rolling bodies; and a transmission device configured to change a gear ratio between an input and output by tilting the rolling bodies. Young&#39;s moduli of a contact section and an additional contact section, in contact with the rolling body, of one of the first and second power transmission elements are larger than those of other one of the first and second power transmission elements."
US-2007187806-A1,Semiconductor chip package mounting structure implementing flexible circuit board,A semiconductor chip package mounting structure may mount a semiconductor chip package on a module board by implementing a flexible circuit board. The semiconductor chip package may be electrically connected to a first surface of the flexible circuit board and the module board may be electrically connected to a second surface of the flexible circuit board.
US-9510483-B1,Cooling a chassis by moving air through a midplane between two sets of channels oriented laterally relative to one another,"Heat dissipating electronic components and circuitry in a communication chassis are cooled by moving air at least through a midplane, between two groups of channels that are perpendicularly oriented relative to one another. In an illustrative embodiment, channels of one group are oriented vertically while channels of another group are oriented horizontally. Each channel, regardless of whether it is vertical or horizontal, is defined by space in the chassis between adjacent circuit boards. Circuit boards on one side of the midplane are electrically connected to circuit boards on the other side of the midplane by orthogonal connectors on the midplane. The midplane additionally has openings that enable movement of air between vertically-oriented channels and horizontally-oriented channels. Circuit boards of the two orientations are cooled by increasing air pressure in vertically-oriented channels or by decreasing air pressure in horizontally-oriented channels or both, depending on the embodiment."
US-7661427-B2,Proportional pressure assist ventilation controlled by a diaphragm electromyographic signal,"A closed loop system uses (a) the intensity of the diaphragm electromyogram (EMG) for a given inspiratory volume; (b) the inspiratory volume for a given EMG intensity; or (c) a combination of (a) and (b); in view of controlling the level of gas flow, gas volume or gas pressure delivered by a mechanical (lung) ventilator. The closed loop ventilator system enables for automatic or manual adjustment of the level of inspiratory support in proportion to changes in the neuro-ventilatory efficiency such that the neural drive remains stable at a desired target level. An alarm can also be used to detect changes in neuroventilatory efficiency in view of performing manual adjustments."
US-6711420-B1,Modified finger assignment algorithm for high data rate calls,"A method of creating a path list for use in finger assignments comprising clearing a list of paths ( 12 ), choosing a sector for consideration from an active set of sectors ( 14 ), establishing a searcher window around the sector for cosideration ( 16 ), and determining up to “n” local maxima stronger than a threshold value ( 18 ). If a sector under consideration is transmitting on supplemental channels( 19 ), the method involves artificially biasing the findings of the searcher window by a predetermined value ( 20 ). The biasing value may be constant, variable or proportional to the number of supplemental channels on the base station. After the local maxima corresponding to base stations transmitting on supplemental channels have been biased ( 20 ), the path lists are created ( 21 )., A method of creating a path list for use in finger assignments comprising clearing a list of paths (12), choosing a sector for consideration from an active set of sectors (14), establishing a searcher window around the sector for cosideration (16), and determining up to &#34;n&#34; local maxima stronger than a threshold value (18). If a sector under consideration is transmitting on supplemental channels(19), the method involves artificially biasing the findings of the searcher window by a predetermined value (20). The biasing value may be constant, variable or proportional to the number of supplemental channels on the base station. After the local maxima corresponding to base stations transmitting on supplemental channels have been biased (20), the path lists are created (21)."
US-9286686-B2,Assessing the condition of a joint and assessing cartilage loss,"Methods are disclosed for assessing the condition of a cartilage in a joint and assessing cartilage loss, particularly in a human knee. The methods include converting an image such as an MRI to a three dimensional map of the cartilage. The cartilage map can be correlated to a movement pattern of the joint to assess the affect of movement on cartilage wear. Changes in the thickness of cartilage over time can be determined so that therapies can be provided. The amount of cartilage tissue that has been lost, for example as a result of arthritis, can be estimated."
US-8543433-B1,System and method for real-time revenue management,"A system and method for real-time revenue management is provided. Data is received from a scheduling system pertaining to a network comprising a plurality of legs. A sub-network within the network may be identified, and optimization of the sub-network is triggered. A current inventory information value attributable to the identified sub-network is pro-rated, and an expected traffic value for the identified sub-network is calculated using a forecast of the expected demand, a standard deviation of the demand, a gamma distribution equation, and an unsatisfied demand value. An updated inventory information value for the identified sub-network is generated using the pro-rated inventory information value and an optimization equation, wherein the optimization equation generates a maximum revenue value by adjusting the expected traffic, and the updated inventory information value is transmitted to the scheduling system."
US-6393750-B1,Device for inhibiting the loading and use of portable guns,"A device for inhibiting the loading and use of portable guns such as rifles, pistols and the like for purposes of safety when a gun is transported or put away. The device comprises a dummy cartridge ( 11 ) to be inserted into the cartridge chamber of the barrel of a gun, a cable ( 12 ) which starts from the dummy cartridge, extends into the barrel for the entire length of same and ends with a final spacer ( 13 ) protruding from the muzzle end of the barrel, and a lock ( 14 ) applied to said spacer and resting directly or indirectly against the muzzle of the barrel."
US-11084276-B2,Method to monitor additive manufacturing process for detection and in-situ correction of defects,"The present invention provides a system and a method for real time monitoring and identifying defects occurring in a three dimensional object build via an additive manufacturing process. Further, the present invention provides in-situ correction of such defects by a plurality of functional tool heads possessing freedom of motion in arbitrary planes and approach, where the functional tool heads are automatically and independently controlled based on a feedback analysis from the printing process, implementing analyzing techniques. Furthermore, the present invention provides a mechanism for analyzing defected data collected from detection devices and correcting tool path instructions and object model in-situ during construction of a 3D object. A build report is also generated that displays, in 3D space, the structural geometry and inherent properties of a final build object along with the features of corrected and uncorrected defects. Advantageously, the build report helps in improving 3D printing process for subsequent objects., The present invention provides a system and a method for real time monitoring and identifying defects occurring in a three dimensional object build via an additive manufacturing process. Further, the present invention provides in-situ correction of such defects by a plurality of functional tool heads possessing freedom of motion in arbitrary planes and approach, where the functional tool heads are automatically and independently controlled based on a feedback analysis from the printing process, implementing analyzing techniques. Furthermore, the present invention provides a mechanism for analyzing defected data collected from detection devices and correcting tool path instructions and object model in-situ during construction of a 3D object. A build report is also generated that displays, in 3D space, the structural geometry and inherent properties of a final build object along with the features of corrected and uncorrected defects. Advantageously, the build report helps in improving 3D printing process for subsequent objects."
US-8673982-B2,Ceramide-analogous metabolites,"This invention relates to certain ceramide-analogues of FTY720 (2-amino-2-[2-(4-octylphenyl)ethyl]propane-1,3-diol; fingolimod). In particular, the present invention relates to pharmaceutical compositions comprising these compounds, as well as processes for their preparation and their use in the treatment of autoimmune conditions, such as multiple sclerosis."
US-11019656-B2,Random access procedures under coverage limitations,"Methods, systems, and devices for wireless communication are described. A user equipment (UE) may select a coverage enhancement (CE) level based on a coverage limitation. The UE may then receive system information from a base station indicating an index of CE levels and corresponding physical random access channel (PRACH) configurations, and the UE may transmit a random access preamble using the PRACH configuration for the selected CE level. For example, the UE may transmit the preamble based on a frequency offset that corresponds to the selected CE level. In some cases, the UE and base station may also associate groups of preambles with downlink (DL) CE levels. The UE may select a preamble from a group corresponding to a desired DL CE level for a random access response message. The base station may determine the DL CE level based on the group the preamble was selected from and respond accordingly., Methods, systems, and devices for wireless communication are described. A user equipment (UE) may select a coverage enhancement (CE) level based on a coverage limitation. The UE may then receive system information from a base station indicating an index of CE levels and corresponding physical random access channel (PRACH) configurations, and the UE may transmit a random access preamble using the PRACH configuration for the selected CE level. For example, the UE may transmit the preamble based on a frequency offset that corresponds to the selected CE level. In some cases, the UE and base station may also associate groups of preambles with downlink (DL) CE levels. The UE may select a preamble from a group corresponding to a desired DL CE level for a random access response message. The base station may determine the DL CE level based on the group the preamble was selected from and respond accordingly."
US-2018165866-A1,Systems and methods for animating movement of agents,"There is provided a method, comprising: receiving an agent dataset comprising a position and a velocity for each agent moving on a track presented on a display, identifying curve(s) of the track; performing, for each agent: identifying neighboring agents according to the respective position of each of the agents; computing a respective inter-agent distance to each of the neighboring agents; adjusting the position and/or the velocity according to the curve(s) and the distance to each of the neighboring agents; and updating instructions for rendering a presentation of an animation of a movement of the agents presented on the display according to the adjusted agent dataset that includes the adjusted position and/or velocity of each of the agents, wherein the performing and the updating are iterated dynamically to provide a realistic animation of the movement of the agents along the curve of the track."
US-2023199274-A1,System to monitor and manage integrated receiver decoders,"An integrated network receiver includes a first universal resource identifier for a first channel and an input suitable for receiving a first input video content from the Internet based upon the first universal resource identifier. The integrated network receiver provides the first input video content for the first channel to a head end connected to a plurality of customer devices through a transmission network. The integrated network receiver updating the first universal resource identifier based upon data obtained from a video address server., An integrated network receiver includes a first universal resource identifier for a first channel and an input suitable for receiving a first input video content from the Internet based upon the first universal resource identifier. The integrated network receiver provides the first input video content for the first channel to a head end connected to a plurality of customer devices through a transmission network. The integrated network receiver updating the first universal resource identifier based upon data obtained from a video address server."
US-2014224420-A1,Method and process to produce and attach air spacers,"The invention entails the method and process to manufacture air spacers in a radiant reflective insulating, air and moisture vapor venting assembly. An adhesive mixture usually made up of ground wood, various types of binder resins such as formaldehyde based resins, and possibly other materials. The adhesive mixture is applied on various protective layers such as panels, which might be oriented strand board (OSB), plywood or even metal panels, or may be applied to more flexible protective layers such as synthetic style underlayment rolled material. The adhesive mixture is applied on the protective layer as parallel spaced lines approximately 1¼ to 1⅜ th  inches apart, about ⅝ to 1 inch high and 1/16 to ⅛ th  inch wide. Forming guides may be used to help form the adhesive mixture air spacer lines. Radiant reflective material is then adhered to the top edges of the mixture lines."
US-8095237-B2,Method and apparatus for single image 3D vision guided robotics,A method of three-dimensional object location and guidance to allow robotic manipulation of an object with variable position and orientation using a sensor array which is a collection of one or more sensors capable of forming a single image.
US-2022303324-A1,Method and system for multi-service processing,"The disclosure can provide a method for multi-service processing. The method includes: obtaining a target identifier of a target live streaming room; querying task data of a current task corresponding to the target live streaming room based on the target identifier; monitoring a task state of the current task in response to the queried task data; determining a first service identifier of a first service corresponding to a current time point based on preset service mapping information in response to the monitored task state being a task-ended state, the preset service mapping information representing mapping relationship between multiple services and preset service running durations; and sending task prompt information corresponding to the first service to a terminal corresponding to the target live streaming room based on the first service identifier, to make the terminal display the task prompt information in the target live streaming room., The disclosure can provide a method for multi-service processing. The method includes: obtaining a target identifier of a target live streaming room; querying task data of a current task corresponding to the target live streaming room based on the target identifier; monitoring a task state of the current task in response to the queried task data; determining a first service identifier of a first service corresponding to a current time point based on preset service mapping information in response to the monitored task state being a task-ended state, the preset service mapping information representing mapping relationship between multiple services and preset service running durations; and sending task prompt information corresponding to the first service to a terminal corresponding to the target live streaming room based on the first service identifier, to make the terminal display the task prompt information in the target live streaming room."
US-5799868-A,Multi-track road crossing,"A multi-track road crossing including a roadway positioned at the level of the rails, which roadway is formed by self-supporting slabs, wherein inner slabs (4) are provided which bridge the space between the rails (2, 3) of each track (G1, G2) and are supported on these rails (2, 3), and wherein outer slabs (6) are provided which are supported on the outer side of a rail (2, 3) of the track (G1, G2) by one of their sides (6a) and on a supporting body (10) arranged beside the track by the other one of their sides (6b). In the intermediate region (Z) between two tracks, the roadway is formed by self-supporting compensating slabs (11, 11a) which on both of their longitudinal rims (12) are supported on the supporting bodies (10, 10a) which also support the outer slabs (6) of the respective tracks (G1, G2). The compensating slabs (11, 11a) preferably are polymer concrete slabs, in particular made of polyester concrete."
US-11267335-B1,Electric vehicle with power controller for distributing and enhancing energy from a generator,"An energy-producing system comprising an axle configured to be driven by an electric vehicle&#39;s wheels when in motion. The axle supports a series of wind-catching cups contained within an aerodynamic housing configured to direct air to the cups while also increasing the air speed. During vehicle motion, the cups are acted upon by rushing air causing the rotation of the axle such that the rotation may be transferred into energy via a generator/alternator linked thereto. A series of similarly polarized magnets integrated on said cups and/or spacers and/or housing proximate thereto further maintain the axle in motion during short vehicle stops. The system extends the life of the batteries between charges as well the distance the vehicle can travel between charges. A power controller is configured to distribute power from said generator to an axle drive motor, vehicle drive motor and/or start-up battery pack., An energy-producing system comprising an axle configured to be driven by an electric vehicle&#39;s wheels when in motion. The axle supports a series of wind-catching cups contained within an aerodynamic housing configured to direct air to the cups while also increasing the air speed. During vehicle motion, the cups are acted upon by rushing air causing the rotation of the axle such that the rotation may be transferred into energy via a generator/alternator linked thereto. A series of similarly polarized magnets integrated on said cups and/or spacers and/or housing proximate thereto further maintain the axle in motion during short vehicle stops. The system extends the life of the batteries between charges as well the distance the vehicle can travel between charges. A power controller is configured to distribute power from said generator to an axle drive motor, vehicle drive motor and/or start-up battery pack."
US-8830174-B1,Variable profile input button,"One or more buttons on an electronic device are mechanically coupled to actuators utilizing electroactive polymers. When active, the electroactive polymer deploys the button such that a height of the button above a substrate is increased. When inactive, the button returns to a stowed position having a lower height, and thus presents a lesser profile."
US-6000397-A,Method and device for detecting a variation in a flowing medium,"In a method for detecting a variation, such as a variation in the concentration of a substance, in a flowing medium, a sample of the medium is made to flow past a sensor for detecting the variation, with the direction of flow of the sample being reversed and the velocity of the sample in relation to the sensor being reduced during passage of the sample through the sensor. A device for detecting such a variation contains a sensor and a pump controlled to reverse the direction of flow and to reduce the velocity of the sample of the medium for making a measurement of the sample."
US-8898793-B2,Method and apparatus for adjusting context-based factors for selecting a security policy,"An approach is provided for selecting a security policy. A security policy manager determines one or more factors for adjusting a safety score associated with a device. The safety score is based, at least in part, on a context associated with the device. The security policy manager then processes and/or facilitates a processing of the one or more factors and the safety score to calculate an adjusted safety score, and determines to select a security policy based, at least in part, on the adjusted safety score."
